character,dialogue
VADER,I have traced the Rebel spies to her.  Now she is my only link to find their secret base!
THREEPIO,"Well, they did let us land."
LUKE,You got a lot of carbon scoring here.  It looks like you boys have seen a lot of action.
HAN,Luke! Luke!
LANDO,"Princess, we'll find Han. I promise."
YODA,"Told you, I did. Reckless is he. Now matters are worse."
THREEPIO,Artoo Detoowha bo Seethreepiowha ey toota odd mischka Jabba du Hutt.
HAN,"I think he thought he was.  Next time don't send one of those twerps.  If you've got something to say to me, come see me yourself."
LEIA,"Help me, Obi-Wan Kenobi.  You'remy only hope."
BEN,That's good.  You have taken your first step into a larger world.
BEN,I also thought he could be turned back to the good side. It couldn't be done. He is more machine now than man. Twisted and evil.
HAN,Where did you dig up that old fossil?
THREEPIO,Yes sir?
THREEPIO,"Oh, he excels at that, sir."
THREEPIO,Sounds dangerous.
VADER,"Luke. You can destroy the Emperor. He has foreseen this. It is  your destiny. Join me, and we can rule the galaxy as father and son. Come with me. It's the only way."
HAN,"You're all clear, kid."
HAN,What're you lookin' at?  I know what I'm doing.
LUKE,Ben. Leia!
LUKE,Maybe they know what happened.
LUKE,It's too dangerous with all the Sand People around.  We'll have to wait until morning.
BEN,You must learn the ways of the Force if you're to come with me to Alderaan.
THREEPIO,No more adventures.  I'm not going that way.
THREEPIO,"Ohhh! Stand back, Artoo."
LUKE,You'll get it!
THREEPIO,"Artoo! Artoo-Detoo, where are you?"
BEN,The Force can have a strong influence on the weak-minded.  You will find it a powerful ally.
YODA,It is the future you see.
HAN,Look. I want you to take her. I mean it. Take her. You need all the help you can get. She's the fastest ship in the fleet.
LUKE,"Then he must have gotten lost, been part of a convoy or something..."
LUKE,Still...there's something familiar about this place. I feel  like...I don't know...
BEN,A fighter that size couldn't get this deep into space on its own.
HAN,"Why, you--"
LEIA,I thought you knew this person.
HAN,Scoundrel? Scoundrel? I like the sound of that.
VADER,"Yes, Admiral?"
HAN,"I've outrun Imperial starships, not the local bulk-cruisers, mind you.  I'm talking about the big Corellian ships now.  She's fast enough for you, old man.  What's the cargo?"
HAN,It looks like an Imperial cruiser.  Our passengers must be hotter than I thought.  Try and hold them off.  Angle the deflector shield while I make the calculations for the jump to light speed.
LANDO,Will you join me for a little refreshment?
HAN,No. No problem. Why?
HAN,One thing's for sure.  We're all going to be a lot thinner!Get on top of it!
LUKE,"All right, I'll give it a try."
HAN,Wha--?  Hey!  Point that thing someplace else.
HAN,Don't get excited.
HAN,Blast the door!  Kid!
LUKE,"Hi, Han... Chewie."
HAN,Lando...
HAN,Oh... great!
LUKE,The Force?
LEIA,Lando.
THREEPIO,"Oh, I'm terribly sor... Artoo! What are you doing here?"
LUKE,Move closer!
VADER,"He is as clumsy as he is stupid. General, prepare your troops  for a surface attack."
THREEPIO,"Mistress Leia, Artoo says he's been quite unable to pick up  any signals, although he does admit that his own range is far too weak to abandon all hope."
LEIA,I thought you decided to stay.
LUKE,"Master Yoda, you can't die."
HAN,Luke.
THREEPIO,I can't abide these Jawas.  Disgusting creatures.
LUKE,"Boy, it's lucky you had these compartments."
LUKE,No!
BEN,Ninety-four.
HAN,"Chewie, you okay? Where is he?"
VADER,Several fighters have broken off from the main group.  Come with me!
LEIA,I don't trust Lando.
LUKE,You will...
LUKE,"Rouge Group, use your harpoons and tow cables. Go  for the legs. It might be our only chance of stopping them.  All right, stand by, Dack."
THREEPIO,I have decided that we shall stay here.
LUKE,"I felt his presence. He's come for me. He can feel when I'm near. That's why I have to go.  As long as I stay, I'm endangering the group and our mission here.  I have to face him."
HAN,Oh yeah? Watch this.
LUKE,Have you been in many battles?
LUKE,"You should have bargained, Jabba. That's the last mistake you'll ever make."
LEIA,Afraid?
HAN,"Oh, no! Chewie, set two-seven-one."
LANDO,"Oh, well, someone must have told them about my little maneuver at the battle of Taanab."
LUKE,"Hey, we better go look for her."
LEIA,Why?
VADER,My son is with them.
HAN,They never even asked me any questions.
HAN,Lando's got people who can fix him.
LUKE,It is the name of your true self. You've only forgotten. I know there is good in you. The Emperor hasn't driven it from you fully. That is why you couldn't destroy me. That's why you won't bring me to your Emperor now.
HAN,"I don't know, I can imagine quite a bit!"
HAN,Okay.  You guys got yourself a ship.  We'll leave as soon as you're ready.  Docking bay Ninety-four.
LUKE,Point it at the deck!
THREEPIO,What a desolate place this is.
BEN,Patience.
LUKE,But tell me why I can't...
LUKE,Leia... do you remember your mother? Your real mother?
THREEPIO,been playing.  The one you're carrying inside your rusty innards! 
THREEPIO,"Yes, stop, please! I'm not ready to die."
LEIA,For luck!
LUKE,You know that little droid is going to cause me a lot of trouble.
HAN,There's another ship coming in.
LUKE,"I feel cold, death."
HAN,Afraid there's not much left.
THREEPIO,Pulverized?
VADER,No. Leave them to me. I will deal with them myself.
LUKE,Han! Leia!
HAN,Let him have it. It's not wise to upset a Wookiee.
HAN,Bring me the hydrospanners!
LUKE,"Never! I'll never turn to the dark side. You've failed, Your Highness. I am a Jedi, like my father before me."
THREEPIO,"I'm sorry, sir, but he appears to have picked up a slight flutter."
HAN,I turned it off. I don't want to talk to her.
LANDO,I'm sorry. Am I interrupting anything?
LANDO,H-a-a-a...
BEN,Luke...Luke.
BEN,Was I any different when you taught me?
YODA,That is why you fail.
LEIA,An Imperial probe droid.
HAN,Right. I got your promise now. Not a scratch.
THREEPIO,He says that our instructions are to give it only to Jabba himself.
VADER,The Force is strong with this one!
THREEPIO,"Oh my... sir, he says there are several creatures approaching from the southeast."
LUKE,"Yeah, she's comin' up."
LEIA,Thank you.
LANDO,Lord Vader has set a trap for him.
LUKE,But there was a lot of firing earlier...
HAN,You got her warmed?
LUKE,Who do you think...
LUKE,You know of the Rebellion against the Empire?
LANDO,Chewie!
HAN,Rich?
HAN,"Yes, Greedo.  As a matter of fact, I was just going to see your boss.  Tell Jabba that I've got his money."
THREEPIO,"Now be careful, Artoo."
THREEPIO,"Hello, sir. I am See-Threepio, human-cyborg relations. My  facilities are at your..."
LEIA,Nothing. I - just want to be alone for a little while.
LEIA,At least the information in Artoo is still intact.
LUKE,"But he didn't know she was here.  Look, will you just find a way back into the detention block?"
HAN,Did you tell Luke? Is that who you could tell?
THREEPIO,"If only you had attached my legs, I wouldn't be in this  ridiculous position. Now, remember, Chewbacca, you have a responsibility to me, so don't do anything foolish."
BEN,"Remember, the Force will be with you... always."
HAN,"Lando's not a system, he's a man. Lando Calrissian. He's a card  player, gambler, scoundrel. You'd like him."
THREEPIO,"Excuse me, sir. Might I inqu-..."
LUKE,I tried to stop him once. I couldn't do it.
LUKE,Nothing.  I'm all right.
VADER,"Yes, my master."
HAN,Yeah.
VADER,Commence primary ignition.
LUKE,"You're wrong, Leia. You have that power too. In time you'll learn to use it as I have. The Force is strong in my family. My father has it...I have it...and...my sister has it."
HAN,Luke! Where's Leia?
LUKE,Now all I have to do is find this Yoda...if he even  exists.
HAN,"Hey, Luke, thanks. Thanks for comin' after me. Now I owe you one."
HAN,"No. But he has no love for the Empire, I can tell you that."
LUKE,Threepio!  Come in Threepio!  Threepio!  Where could he be?
VADER,"You cannot hide forever, Luke."
LEIA,Lando?
HAN,Deck Officer. Deck Officer!
HAN,"Well, that's the real trick, isn't it?  And it's going to cost you something extra.  Ten thousand in advance."
YODA,Strong am I with the Force... but not that strong! Twilight is upon me and soon night must fall. That is the way of things ... the way of the Force.
HAN,Oww! Chewie!
LUKE,What about that one?
LUKE,"Hobbie, I've been hit!"
THREEPIO,Don't shoot!  Don't shoot!  Will this never end?
LUKE,"Yoda, I must know."
HAN,What the hell are you doing?
LUKE,Ben...Ben...
LUKE,How did my father die?
THREEPIO,At last! Master Luke's come to rescue me.
HAN,Come on! Come on!
LEIA,What looks pretty good?
BEN,"In my experience, there's no such thing as luck."
VADER,That's it. The  Rebels are there.
LUKE,See-Threepio!  See-Threepio!
LUKE,Future? Will they die?
HAN,"No sign of life out there, General. The sensors are in place.  You'll know if anything comes around."
LUKE,I'll be careful than.
BEN,"Well, the Force is what gives the Jedi his power.  It's an energy field created by all living things.  It surrounds us and penetrates us.  It binds the galaxy together."
HAN,"Anyway, we should be at Alderaan about oh-two-hundred hours."
LUKE,I'm sorry.
THREEPIO,"Uh, I'm quite sure you'll be very pleased with that one, sir.  He really is in first-class condition.  I've worked with him before.  Here he comes."
HAN,"What good's a reward if you ain't around to use it?  Besides, attacking that battle station ain'tmy idea of courage.  It's more like suicide."
THREEPIO,"Oh, dear."
HAN,"Your ship? Hey, remember, you lost her to me fair and square."
BEN,They're for sale if you want them.
LUKE,I'll meet you at the rendezvous point on  Tatooine.
LUKE,"Threepio!  Come in, Threepio!  Threepio!"
LUKE,"Oh, this little droid!  I think he's searching for his former master...  I've never seen such devotion in a droid before... there seems tobe no stopping him.  He claims to be the property of an Obi-Wan Kenobi.  Is he a relative of yours?  Do you know who he's talking about?"
HAN,What?
LUKE,"All right, I'll be right there, Aunt Beru."
LUKE,"Listen, friend, we didn't mean to land in that puddle, and if we  could get our ship out, we would, but we can't, so why don't you just..."
LEIA,Han!
LANDO,We'll last longer then we will against that Death Star...and we might just take a few of them with us.
LUKE,But I can help them! I feel the Force!
HAN,Three-two-six-eight-two-seven.
LUKE,"All right, I'll be there in a few minutes.  Boy, am I gonna get it."
LUKE,What do you remember?
YODA,"No, no, there is no why. Nothing more will I  teach you today. Clear your mind of questions. Mmm. Mmmmmm."
HAN,Sorry about the mess.
LEIA,"Lord Vader, I should have known.  Only you could be so bold.  The Imperial Senate will not sit stillfor this, when they hear you've attacked a diplomatic..."
THREEPIO,"Oh! Oh, my. Uh, Princess Leia!"
HAN,Throw me another charge.
LUKE,No!
THREEPIO,"What...what's going on? Turn around, Chewbacca, I can't see.  Oh...they've encased him in carbonite. He should be quite well-protected -- if he survives the freezing process, that is."
HAN,Here! And Chewie...
LANDO,No.
VADER,Alert all commands. Calculate every possible destination along  their last know trajectory.
LUKE,"Well, come on. It's getting late.  I only hope we can get back before Uncle Owen really blows up."
LUKE,I'm on it.
LEIA,There's no lock!
LUKE,There's something alive in here!
VADER,"Commander, tear this ship apart until you've found those plans and bring me the Ambassador.  I want her alive!"
LUKE,"Here, hold this."
THREEPIO,"Don't say thing like that! Of course we'll see Master Luke  again. He'll be quite all right, you'll see.  Stupid little short-circuit. He'll be quite all right."
HAN,Chewie!
BEN,Anakin was a good friend.
HAN,Grab it! L--Lando. Grab!
THREEPIO,"It wasn't my fault, sir.  Please don't deactivate me.  I told him not to go, but he's faulty, malfunctioning; kept babbling on about his mission."
LUKE,But I have no sister.
LUKE,We'll set harpoon. I'll cover for you.
YODA,"Hmm. Control, control. You must learn control."
THREEPIO,I'm afraid our furry companion has gone and done something rather rash.
LUKE,These are the same Jawas that sold us Artoo and Threepio.
THREEPIO,"Hello? How interesting. Oh, my."
LEIA,"Luke, don't talk that way. You have a power I--I don't understand and could never have."
LUKE,I think my uncle knew him.  He said he was dead.
THREEPIO,"I see, sir."
LUKE,"Well, I don't know anyone named Obi-Wan, but old Ben lives out beyond the dune sea.  He's kind of a strange old hermit."
VADER,"Don't play games with me, Your Highness.  You weren't on any mercy mission this time.  You passed directly through a restricted system.  Several transmissions were beamed to this ship by Rebel spies.  I want to know what happened to the plans they sent you."
HAN,The fleet is beginning to break up. Go back and stand  by the manual release for the landing claw.
BEN,The other he spoke of is your twin sister.
LUKE,Hurry up!  Come with me!  What are you waiting for?!  Get in gear!
HAN,Where am I?
LUKE,I know what you mean.
LUKE,Are you all right?  What's wrong?
LEIA,I need? I don't know what you're talking about.
THREEPIO,It can wait.
LEIA,Stop that! My hands are dirty.
THREEPIO,"Put me down! He-e-elp! Master Luke! Artoo! Somebody, somebody, help! Master Luke, Artoo! Artoo, quickly! Do something, somebody! Oh! Ohhh!"
HAN,Just what I always wanted.
HAN,"Hang on, kid."
LEIA,"The technical readouts of that battle station.  I only hope that when the data is analyzed, a weakness can be found.  It's not over yet!"
YODA,"Stopped they must be. On this depends. Only a fully trained Jedi  Knight with the Force as his ally will conquer Vader and his Emperor. If you end your training now, if you choose the quick and easy path, as Vader did, you will become an agent of evil."
HAN,Not much time.
THREEPIO,"I beg your pardon, sir, but do you know what he's talking about?"
LUKE,"Threepio, we're all right!"
HAN,"I'm all right, pal. I'm all right."
LUKE,"Old Ben Kenobi lives out in this direction somewhere, but I don't see how that R2 unit could have come this far.  We must have missed him.  Uncle Owen isn't going to take this very well."
LUKE,Artoo! You be more careful.
BEN,This little one isn't worth the effort.  Come let me buy you something...
BEN,"Use the Force, Luke."
LUKE,"He says it's the best he can do.  Since the XP-38 came out, they "
VADER,I do not want the Emperor's prize damaged. We will test it...on  Captain Solo.
LANDO,"Yes, he's alive. And in perfect hibernation."
HAN,"Nothing?  Come on, tell me.  What's goin' on?"
HAN,Whoa! Wait a minute! Let me explain.
VADER,Don't underestimate the Force.
THREEPIO,That R2 unit has always been a problem.  These astro-droids are getting quite out of hand.  Even I can't understand their logic at times. 
HAN,It's not my fault.
LUKE,What?
HAN,I'm going to shut down everything but the emergency power  systems.
LANDO,"Look, would you get going, you pirate."
VADER,He's just a boy. Obi-Wan can no longer help him.
HAN,"You hear me, baby?  Hold together!"
HAN,I'm not the type to run.
LEIA,What was it?
THREEPIO,"Oh, you did it!"
HAN,"Oh, what about you need?"
VADER,Obi-Wan once thought as you do.
LUKE,"No, you're not.  What kind of talk is that?"
VADER,"Your powers are weak, old man."
LUKE,What's in there?
HAN,"Yeah, sure."
LUKE,And I'm stuck here...
HAN,Prepare to make the jump to light-speed.
LANDO,"Figured if I left you frozen like that you'd just give me bad luck the rest of my life, so I might as well get you unfrozen sooner or later."
LEIA,Your father?
THREEPIO,"For the moment.  Uh, we're in the main hangar across from the ship."
HAN,Horizontal boosters...!
HAN,"Get out of here, Lando!"
THREEPIO,"I am fluent in over six million forms of communication, and can readily..."
LUKE,I've lost Artoo!
LEIA,Grab him!
THREEPIO,"I don't think so, sir.  I'm only a droid and not very knowledgeable about such things.  Not on this planet, anyways.  As a matter of fact, I'm not even sure which planet I'm on."
HAN,"Good. How far is it? Ask him. We need some fresh supplies, too. And try and get our weapons back."
LUKE,"Just hang on. Hang on, Dack. Get ready to fire that tow cable."
HAN,"Well, he ain't going to be around long enough to tell anyone about us."
VADER,Let him go!  Stay on the leader!
LUKE,Why are we still moving towards it?
HAN,"Absolutely, Your Worship.  Look, I had everything under control until you led us down here.  You know, it's not going to take them long to figure out what happened to us."
LANDO,They told me they fixed it. I trusted them to fix it. It's not  my fault!
VADER,All to easy. Perhaps you are not as strong as the Emperor  thought.
HAN,Oh!  The garbage chute was a really wonderful idea.  What an incredible smell you've discovered!  Let's get out of here!  Get away from there...
BEN,You'd better get on with your exercises.
BEN,Mos Eisley Spaceport.  You will never find a more wretched hive of scum and villainy.  We must be cautious.
LEIA,What did you have in mind for your next move?
LUKE,I knew you'd come back!  I just knew it!
LUKE,"Easy, Chewie."
LUKE,Join the Rebellion?!  Are you kidding!  How?
LUKE,"I know, father."
LANDO,"Okay, let's go."
LEIA,"Look, it's a hat. It's not gonna hurt you. Look. You're a jittery little thing, aren't you?"
LUKE,"I see it, Wedge. Good work."
HAN,Not for long...
HAN,"Right. Chewie, let's see what this piece of junk can do. Ready, everybody?"
THREEPIO,"I see, sir Luke."
HAN,"Come on, Chewie!"
LUKE,I saw part of the message he was...
LUKE,She's rich.
HAN,"Loud and clear, kid. What's up?"
THREEPIO,"Come along, Artoo."
BEN,"Hmm. To protect you both from the Emperor, you were hidden from your father when you were born. The Emperor knew, as I did, if Anakin were to have any offspring, they would be a threat to him. That is the reason why your sister remains safely anonymous."
LUKE,Never-r-r!
LUKE,Right.
HAN,I can arrange that. You could use a good kiss!
HAN,I better!
THREEPIO,Artoo! Artoo! Where have you been?
THREEPIO,Are you sure this things safe?
LUKE,But I had to help my friends.
LUKE,All set.
LANDO,"You won't get another chance at this, Admiral."
HAN,"There's nothin' I can do about it, kid.  I'm in full power.  I'm going to have to shut down.  But they're not going to get me without a fight!"
VADER,He will come to me?
HAN,"Perfect. You fixed us all pretty good, didn't you?   My friend!"
LUKE,But how am I to know the good side from the bad?
LEIA,There wasn't anything you could have done.
THREEPIO,Is there anything I might do to help? 
LUKE,But it's a whole 'nother year.
LUKE,Hear me! Leia!
THREEPIO,"What are you doing? Trust him, trust him!"
YODA,Difficult to see. Always in motion is the future.
LUKE,Dagobah system?
THREEPIO,"Use the comlink?  Oh, my!  I forgot I turned it off!"
LEIA,What is it?
LANDO,"All right, old buddy. You know, I know what she means to you. I'll take good care of her. She-she won't get a scratch. All right?"
VADER,"Make ready to land out troops beyond the energy shield and  deploy the fleet so that nothing gets off that system. You are in command now, Admiral Piett."
HAN,I'm not going anywhere.
THREEPIO,The tractor beam is coupled to the main reactor in seven locations.  A power loss at one of the terminals will allow the ship to leave.
HAN,You like me because I'm a scoundrel. There aren't enough  scoundrels in your life.
LEIA,Watch what?
HAN,Whatever you say.  I've done more than I bargained for on this trip already.
YODA,"He is too old. Yes, too old to begin the training."
LUKE,"With the blast shield down, I can't even see.  How am I supposed to fight?"
HAN,What's your plan?
VADER,"Give yourself to the dark side. It is the only way you can save your friends. Yes, your thoughts betray you. Your feelings for them are strong. Especially for..."
HAN,"Hey down there, could you give us a hand with this?"
HAN,Not likely. Are the speeders ready?
LANDO,"Come on, let's get off this miserable dust ball."
THREEPIO,"Artoo, look! Captain Solo. And he's still frozen in carbonite."
LUKE,"Oh, no! Are you all right? Come on. You're lucky you don't taste  very good. Anything broken?"
LUKE,Let's go! And don't forget the droids.
HAN,"Nice work. Great, Chewie! Great! Always thinking with your stomach."
LANDO,"Admiral, we're in position. All fighters accounted for."
THREEPIO,"You must come along now, Artoo. There's really nothing more  we can do. And my joints are freezing up."
LANDO,"Welcome, Leia."
LUKE,Ready for some power? Okay. Let's see now. Put that in there.  There you go.
VADER,Then perhaps you can tell him when he arrives.
THREEPIO,"I said, all systems have been alerted to your presence, sir.  The main entrance seems to be the only way out; all other information on your level is restricted."
LEIA,Luke!
THREEPIO,I heartily agree with you sir.
HAN,Aren't you afraid the Empire's going to find out about this  little operation and shut you down?
THREEPIO,"Come on, Artoo, we're going!"
LUKE,"Okay.  Han, you put these on."
VADER,You are unwise to lower your defenses.
THREEPIO,I don't like the look of this.
VADER,You're a part of the Rebel Alliance... and a traitor.  Take her away!
YODA,That place...is strong with the dark side of the Force. A domain  of evil it is. In you must go.
THREEPIO,"Oh, Princess Leia, are you all right?"
LUKE,Ben is a great man.
LUKE,All right.
LEIA,It's a wonder you're still alive.Will somebody get this big walking carpet out of my way?
THREEPIO,"Oh, yes, Master Luke!  Remember that I am fluent in over six million forms of communication."
LEIA,You can't make the jump to light-speed in this asteroid field...
HAN,I think I can get him before he gets there... he's almost in range.
YODA,Concentrate!
LUKE,I've got to go to them.
LUKE,Thanks to you.
LANDO,Here goes nothing.
LEIA,I'm not gonna hurt you.
LEIA,"Well, it only takes one to sound the alarm."
HAN,I think I got it. I got it!
THREEPIO,And you said it was pretty here. Ugh!
HAN,"Look, don't worry. Everything's going to be fine. Trust me."
LUKE,Who is she?  She's beautiful.
LUKE,Lock the door!
THREEPIO,"Now, don't forget this!  Why I should stick my neck out for you is quite beyond my capacity!"
THREEPIO,"In his belly, you will find a new definition of pain and suffering, as you are slowly digested over a thousand years."
HAN,What's that? I know that laugh.
VADER,"You underestimate the power of the dark side. If you will not fight, then you will meet your destiny."
THREEPIO,"Artoo, don't leave me! Ohhh!"
BEN,Destroyed... by the Empire!
HAN,Leia!
LUKE,Just stick close to Chewie and Lando. I've taken care of everything.
HAN,There goes our surprise attack.
BEN,It will be enough.
LANDO,Hello. What have we here? Welcome. I'm Lando Calrissian. I'm  the administrator of this facility. and who might you be?
LUKE,"But you can't let her get involved now, Ben. Vader will destroy her."
HAN,"Sit down, sweetheart. We're taking off!"
VADER,Search your feelings. You know it to be true.
HAN,What is it?  Some kind of local trouble?
VADER,"What is it, General?"
LUKE,No!
LUKE,"There are two Banthas down there but I don't see any... wait a second, they're Sand People all right.  I can see one of them now."
LUKE,Ow!
HAN,Chewie!  Come here!
HAN,Lando!
THREEPIO,"Captain Solo, Captain Solo...sir, might I suggest that  you..."
LUKE,Dagobah...
LUKE,Something just moves past my leg!  Look!  Did you see that?
YODA,No. Unfortunate that you rushed to face him... that incomplete was your training. Not ready for the burden were you.
BEN,"He was the best star-pilot in the galaxy, and a cunning warrior.  I understand you've become quite a good pilot yourself.  And he was a good friend.  Which reminds me..."
HAN,"Watch your mouth, kid, or you're going to find yourself floating home.  We'll be safe enough once we make the jump to hyperspace.  Besides, I know a few maneuvers. We'll lose them!"
LEIA,Give the evacuation code signal. And get to  your transports!
LUKE,I have a very bad feeling about this.
THREEPIO,"Shutting up, sir."
THREEPIO,That isn't very reassuring.
LUKE,"Chewie, I'll be waiting for your signal."
LEIA,Just a little bit. She died when I was very young.
BEN,"An elegant weapon for a morecivilized time.  For over a thousand generations the Jedi Knights were the guardians of peace and justice in the Old Republic.  Before the dark times, before the Empire."
LEIA,I...I can't tell you.
LANDO,"Stop! I've done all I can do. I'm sorry I couldn't do better,  but I have my own problems."
LANDO,But what about those fighter?
THREEPIO,"Oh!  All this excitement has overrun the circuits of my counterpart here.  If you don't mind, I'd like to take him down to maintenance."
LEIA,All the coordinates are set. It's now or never.
BEN,"You must do what you feel is right, of course."
THREEPIO,Did you hear that?  They've shut down the main reactor.  We'll be destroyed for sure.  This is madness!
HAN,This is no cave.
HAN,Okay! I told you it was gonna work. No problem.
THREEPIO,"Master Luke, you're standing on..."
LEIA,Yes...very friendly.
LUKE,We're going to the Dagobah system.
LUKE,"Now will you move along, little fella? We're got a lot  of work to do."
THREEPIO,What's that?
LEIA,They're getting closer!
LANDO,You look absolutely beautiful. You truly belong here with us  among the clouds.
LANDO,"Yeah, I'm responsible these days. It's the  price you pay for being successful."
BEN,They didn't.  But we are meant to think they did.  These tracks are side by side.  Sand People always ride single file to hide there numbers.
LUKE,Can you stand?  We've got to get out of here before the Sand People return.
LEIA,You're going to attack them?!
HAN,"Well, I don't trust him, either. But he is my friend. Besides,  we'll soon be gone."
HAN,"You're gonna die here, you know. Convenient."
YODA,"Remember, a Jedi's strength flows from the Force.  But beware.  Anger, fear, aggression. The dark side are they.  Once you start down the dark path, forever will it dominate your destiny."
THREEPIO,"Well, they're on their way. Artoo, are you sure this was a good idea?"
LUKE,You bet I could.  I'm not such a bad pilot myself!  We don't have to sit here and listen...
THREEPIO,Oh. No one to meet us.
THREEPIO,"Actually, Artoo has been known to make mistakes...from time  to time. Oh, dear, oh, dear. Don't worry about Master Luke. I'm sure he'll be all right. He's quite clever, you know...for a human being."
THREEPIO,"Ouch! Oh! Ah! That hurt, Bend down, you thoughtless...Ow!"
LANDO,"That was never a condition of our agreement, nor was giving Han  to this bounty hunter!"
LANDO,"Lord Vader, what about Leia and the Wookiee?"
LEIA,Can you trust him?
HAN,"What do you mean, ""nobody knows""?"
HAN,What are you talking about?
LUKE,My scope's negative.  I don't see anything.
VADER,Bring my shuttle.
LANDO,All right. Stand by.
LUKE,I think we took a wrong turn.
LUKE,Yoda spoke of another.
VADER,If you only knew the power of the dark side. Obi-Wan never told  you what happened to your father.
LEIA,I can't 
LUKE,The droid belongs to her.  She's the one in the message.  We've got to help her.
VADER,Nothing can stop that now. Just for once... let me look on you with my own eyes.
LUKE,About three or four seasons.
THREEPIO,"Of course I can, sir.  It's like a second language for me...  I'm as fluent in Bocce..."
HAN,"I've been waiting for you, Jabba."
HAN,Then we've got to find a safe port somewhere around here. Got any  ideas?
HAN,"Yeah, great at getting us into trouble."
LUKE,"Yes, Artoo?"
VADER,Luke.
VADER,"It is pointless to resist, my son."
LEIA,The Empire is still out there. I don't think it's wise to...
THREEPIO,Goodness gracious me!
THREEPIO,"Oh, Master Luke."
THREEPIO,Wait! Wait!
LUKE,"Yes, that's it. Dagobah."
HAN,Chewie!
LEIA,We did it!
LUKE,Artoo!
HAN,Han Solo.  I'm captain of the Millennium Falcon.  Chewie here tells me you're looking for passage to the Alderaan system.
LUKE,Are you all right?
LUKE,"Well, I'll be at the Academy next season... after that who knows.  I won't be drafted into the Imperial Starfleet that's for sure...  Take care of yourself, you'll always be the best friend I've got."
LUKE,"Oh, no!"
LUKE,Well more wealth that you can imagine.
LUKE,I will. And I'll return. I promise.
THREEPIO,"Oh, no! The Rancor!"
THREEPIO,"Oh, no! No, no, no! Stop, Chewbacca, stop...!"
HAN,Stay sharp!  There are two more coming in; they're going to try to cut us off.
HAN,"Yeah, I just got a funny feeling. Like I'm not gonna see her again."
LUKE,Unfortunate that I know the truth?
HAN,It's worse.
HAN,"Thats what I'm trying to tell you, kid.  It ain't there.  It's been totally blown away."
LEIA,Stop that.
LUKE,But there's gotta be something you can do!
HAN,"On second thought, let's pass on that, huh?"
LUKE,"Sand People!  Or worse!  Come on, let's have a look.  Come on."
VADER,His lightsaber.
HAN,...but it will keep you warm...til I get the shelter built.   Ooh...I thought they smelled bad on the outside!
YODA,"Hmmm. Much anger in him, like his father."
LUKE,"Yes.  Rich, powerful!  Listen, if you were to rescue her, the reward would be..."
LEIA,Anoat system. There's not much there.
VADER,"If he could be turned, he would become a powerful ally."
THREEPIO,"If I may say so, sir, I noticed earlier the hyperdrive  motivator has been damaged. It's impossible to go to light-speed!"
HAN,"Hey, what's goin' on?"
VADER,Did you find any droids?
VADER,Good. Prepare the boarding party and set for your weapons for  stun.
THREEPIO,"""Exciting"" is hardly the word I would use."
HAN,"Chewie! Chewie, give me the gun. Don't move, Lando."
LEIA,"Listen. I don't know who you are, or where you came from, but from now on, you do as I tell you.  Okay?"
THREEPIO,"Excuse me, sir."
VADER,Obi-Wan has taught you well.
LUKE,I want to go with you.
BEN,"You father was seduced by the dark side of the Force. He ceased to be Anakin Skywalker and became Darth Vader. When that happened, the good man who was your father was destroyed. So what I have told you was true... from a certain point of view."
BEN,Move along.
LANDO,He doesn't want you at all. He's after somebody called  Skywalker.
LEIA,"Outside, in the cave."
VADER,"Yes, Admiral, what is it?"
LEIA,Vader wants us all dead.
LUKE,"Ben?  Ben Kenobi!  Boy, am I glad to see you! "
HAN,"My hands are dirty, too. What are you afraid of?"
HAN,"And hurry up, will ya? I haven't got all day."
THREEPIO,I...I never knew I had it in me.
VADER,I have you now.
BEN,Who's the more foolish... the fool or the fool who follows him?
THREEPIO,It sounds like Han.
LEIA,Good luck.
BEN,Then the Emperor has already won. You were our only hope.
LANDO,What's wrong with the Falcon?
LUKE,Great. Come on.
BEN,"Only passengers.  Myself, the boy, two droids, and no questions asked."
LUKE,It couldn't happen here.  You said it yourself.  The Empire won't bother with this rock.
YODA,Hmm. That face you make. Look I so old to young eyes?
HAN,Look...
LUKE,"Han, don't. It'll be all right."
VADER,"I have felt him, my Master."
HAN,I don't have it with me.  Tell Jabba...
VADER,They must never again leave this city.
LEIA,Asteroids!
LEIA,Dantooine.
BEN,"Luke, you're going to find that many of the truths we cling to depend greatly on our own point of view."
LEIA,What?
HAN,I have a really bad feeling about this.
LANDO,Whoa! Whoa! Help!
HAN,She expressed her true feelings for me.
HAN,And hope they don't have blasters.
THREEPIO,"And don't let me catch you following me begging for help, because you won't get it."
HAN,What did he say?
LEIA,I hope you know what you're doing.
VADER,Do they have a code clearance?
LEIA,And we're the bait.
LEIA,"Help me, Obi-Wan Kenobi..."
HAN,I'm going in closer to one of the big ones.
BEN,"Wait, Luke!  It's too dangerous."
LUKE,... Both are hardworking and will serve you well.
LANDO,"Wedge, I don't think we're going to make it."
HAN,"Whoa! Whoa! Grab me, Chewie! I'm slipping."
THREEPIO,I really don't see how thats going to help. Surrender is a  perfectly acceptable alternative in extreme circumstances. The Empire may be gracious enough...
YODA,"Decide you must how to serve them best. If you leave now, help  them you could. But you would destroy all for which they have fought and suffered."
LUKE,I'll see you back at the fleet.
